City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Vao,NC,-22.6667,167.4833,71.38,70,54,15.75,broken clouds
81,Bredasdorp,ZA,-34.5322,20.0403,52.32,51,100,4.68,overcast clouds
82,Faanui,PF,-16.4833,-151.75,78.01,66,0,12.86,clear sky
83,Puerto Ayora,EC,-0.7393,-90.3518,74.55,85,35,5.01,scattered clouds
84,Tocopilla,CL,-22.092,-70.1979,63.86,71,100,9.8,overcast clouds
85,Mayumba,GA,-3.432,10.6554,71.01,91,82,4.97,broken clouds
86,Hithadhoo,MV,-0.6,73.0833,80.6,75,87,4.0,overcast clouds
87,Coahuayana,MX,18.7333,-103.6833,90.88,64,72,6.02,broken clouds
88,Taoudenni,ML,22.6783,-3.9836,106.21,5,47,10.92,scattered clouds
89,San Cristobal,VE,7.7669,-72.225,80.78,52,100,4.43,overcast clouds
90,Mayo,US,38.8876,-76.5119,93.36,69,1,7.0,clear sky
91,Thinadhoo,MV,0.5333,72.9333,81.84,70,65,2.01,broken clouds
92,Cap Malheureux,MU,-19.9842,57.6142,70.29,62,5,5.99,clear sky
93,Sehithwa,BW,-20.4667,22.7167,52.5,50,0,7.74,clear sky
94,Miraflores,MX,19.2167,-98.8083,77.76,60,71,1.12,broken clouds
95,Bilma,NE,18.6853,12.9164,86.67,50,94,19.24,overcast clouds
96,Camana,PE,-16.6228,-72.7111,61.92,81,61,6.2,broken clouds
97,Uruzgan,AF,32.8333,66.0,80.47,17,6,1.95,clear sky
98,Norman Wells,CA,65.282,-126.8329,71.64,46,85,10.29,overcast clouds
99,Mobile,US,30.7835,-88.2,92.14,66,40,4.61,scattered clouds
100,Severo-Kurilsk,RU,50.6789,156.125,55.06,97,86,3.8,overcast clouds
101,Kokopo,PG,-4.352,152.2633,77.23,83,93,3.33,overcast clouds
102,San Quintin,MX,30.4833,-115.95,68.38,84,100,9.06,overcast clouds
103,Nhulunbuy,AU,-12.2333,136.7667,68.61,88,10,5.75,clear sky
104,Leningradskiy,RU,69.3833,178.4167,37.8,90,100,4.65,overcast clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,97.81,55,1,9.22,clear sky
106,Saskylakh,RU,71.9167,114.0833,55.15,68,85,13.8,overcast clouds
107,Grand-Santi,GF,4.25,-54.3833,82.47,77,80,4.76,broken clouds
108,Doume,CM,4.2333,13.45,68.77,93,98,3.04,overcast clouds
109,Kolhapur,IN,16.7,74.2167,72.36,90,89,11.03,overcast clouds
110,Chokurdakh,RU,70.6333,147.9167,41.11,67,1,9.71,clear sky
111,Saldanha,ZA,-33.0117,17.9442,60.49,50,100,12.41,overcast clouds
112,Dakar,SN,14.6937,-17.4441,83.28,77,100,9.26,overcast clouds
113,Kodiak,US,57.79,-152.4072,51.31,87,90,5.75,fog
114,Kushima,JP,31.4583,131.2333,80.11,92,100,7.76,overcast clouds
115,Alofi,NU,-19.0595,-169.9187,76.89,94,40,10.36,scattered clouds
116,Dicabisagan,PH,17.0818,122.4157,80.56,74,99,3.42,overcast clouds
117,Auki,SB,-8.7676,160.7034,76.57,88,93,4.7,overcast clouds
118,Akom,CM,2.6678,12.7109,67.06,97,94,3.18,overcast clouds
119,Naze,JP,28.3667,129.4833,77.86,88,100,16.15,light rain
120,Ancud,CL,-41.8697,-73.8203,47.73,60,33,10.54,scattered clouds
121,Esperance,AU,-33.8667,121.9,52.84,86,2,17.6,clear sky
122,Talnakh,RU,69.4865,88.3972,55.8,93,100,4.88,overcast clouds
123,Rocha,UY,-34.4833,-54.3333,69.3,80,36,9.13,scattered clouds
124,Goldap,PL,54.3063,22.3036,67.66,76,100,7.99,overcast clouds
125,Vila Velha,BR,-20.3297,-40.2925,73.35,64,40,9.22,scattered clouds
126,Pevek,RU,69.7008,170.3133,34.88,91,100,8.63,overcast clouds
127,Nerchinskiy Zavod,RU,51.3088,119.61,55.67,96,75,3.87,broken clouds
128,Fuerte Olimpo,PY,-21.0415,-57.8738,96.96,20,0,10.76,clear sky
129,Cedar Falls,US,42.5278,-92.4455,90.61,36,100,4.0,overcast clouds
130,Yvetot,FR,49.6174,0.7581,64.0,88,38,7.25,scattered clouds
131,Lebu,CL,-37.6167,-73.65,52.11,88,39,12.1,scattered clouds
132,Hamilton,US,39.1834,-84.5333,91.08,66,40,3.0,scattered clouds
133,Nikolskoye,RU,59.7035,30.7861,67.89,70,24,2.53,few clouds
134,Lerwick,GB,60.1545,-1.1494,57.2,86,1,6.85,clear sky
135,Quatre Cocos,MU,-20.2078,57.7625,69.91,58,53,15.99,broken clouds
136,Maradi,NE,13.5,7.1017,86.74,54,98,11.81,overcast clouds
137,Sabaudia,IT,41.3003,13.0282,84.45,71,98,1.99,overcast clouds
138,Victoria,HK,22.2855,114.1577,86.38,86,16,1.01,few clouds
139,Ojinaga,MX,29.5667,-104.4167,101.57,29,1,6.91,clear sky
