City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Itoman,JP,80.98,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
239,Port-Gentil,GA,75.83,overcast clouds,-0.7193,8.7815,Fengshui Residence
244,Nicoya,CR,83.75,overcast clouds,10.1483,-85.452,Guayacan Real
245,Neyshabur,IR,82.63,clear sky,36.2133,58.7958,Amiran Hotel
246,Mazara Del Vallo,IT,83.55,clear sky,37.6641,12.588,Vizier Resort & Spa
249,Lompoc,US,84.78,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
253,Cayenne,GF,78.84,light rain,4.9333,-52.3333,Hôtel Le Dronmi
254,Tucupita,VE,79.79,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
255,Sibolga,ID,76.64,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
256,Sechura,PE,76.01,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
259,Santa Cruz,BO,87.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
260,Westport,US,84.2,overcast clouds,41.1415,-73.3579,The Westport Inn
265,Altamirano,MX,76.51,overcast clouds,16.8833,-92.15,
269,Alugan,PH,79.23,few clouds,12.2188,125.4808,JM Lodge
272,Phon,TH,79.11,overcast clouds,15.816,102.5998,Baan Kru Tum Chiang Khan
276,Nishihara,JP,80.26,light rain,26.1842,127.7558,Minshuku Agaihama
278,Tura,IN,75.56,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
283,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
286,Salo,IT,80.26,overcast clouds,45.6086,10.531,Park Hotel Casimiro Village - Blu Hotels
289,Lakatoro,VU,78.08,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
290,Ndjole,GA,78.24,overcast clouds,-0.1783,10.7649,Hotel Kevazingo
296,Puerto Carreno,CO,85.21,heavy intensity rain,6.189,-67.4859,Casa Hotel Victoria
297,Isangel,VU,75.0,overcast clouds,-19.55,169.2667,Tanna Lodge
300,Muli,MV,81.75,broken clouds,2.9167,73.5667,Medhufushi Island Resort
303,Delvada,IN,79.65,overcast clouds,20.7667,71.0333,Hotel Shivam
304,Caraballeda,VE,86.07,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
307,Gamboma,CG,82.96,overcast clouds,-1.8764,15.8644,Residence N'Keni
308,Mut,TR,80.55,clear sky,36.6439,33.4389,Konak Otel
310,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
311,Two Rivers,US,88.29,clear sky,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
313,Kendallville,US,87.12,broken clouds,41.4414,-85.265,Best Western Kendallville Inn
314,Mogadishu,SO,76.55,light rain,2.0371,45.3438,Hotel Juba
316,Brattleboro,US,82.78,overcast clouds,42.8509,-72.5579,"Holiday Inn Express & Suites Brattleboro, an IHG Hotel"
318,Paita,PE,75.76,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
319,Shu,KZ,81.23,clear sky,43.5983,73.7614,Shyngyzkhan
